Kohtuasja nr;Kohus;Lahendi kp;Seotud sätted
1-19-705/1769;Riigikohtu kriminaalkolleegium;14.03.2025;
4-24-679/34;Riigikohtu kriminaalkolleegium;12.03.2025;"KPS § 77 lg 2
KPS § 10 lg 4 p 2
KPS § 85 lg 1
Kalapüügieeskiri § 19 lg 1"
1-24-1235/32;Riigikohtu kriminaalkolleegium;07.03.2025;"KarS § 157 3 lg 1
KarS § 331 2 lg 1
VÕS § 1055 lg 1"
4-23-4296/32;Riigikohtu kriminaalkolleegium;05.03.2025;KarS § 151 1 lg 1
1-24-2094/16;Riigikohtu kriminaalkolleegium;28.02.2025;KorS § 79 lg 1
1-23-5023/245;Riigikohtu kriminaalkolleegium;19.02.2025;"KrMS § 137 1 lg 7
KrMS § 385 lg 1 p 20"
1-22-3155/132;Riigikohtu kriminaalkolleegium;07.02.2025;KarS § 298 1 lg 1
1-19-2118/264;Riigikohtu kriminaalkolleegium;05.02.2025;"KrMS § 424 1 lg 1
KrMS § 416 lg 2"
1-23-7174/66;Riigikohtu kriminaalkolleegium;04.02.2025;"KarS § 184 lg 2 p 2
KarRS § 27 lg 1
KarRS § 24 lg 1
KarRS § 24 lg 1 p 6"
1-23-5620/89;Riigikohtu kriminaalkolleegium;16.01.2025;"KarS § 147 lg 1
KarS § 141 lg 2 p 1
KarS § 143 2 lg 2
KarS § 143 2 lg 1"
1-21-7384/240;Riigikohtu kriminaalkolleegium;16.01.2025;"KrMS § 65 lg 1
KrMS § 60 lg 3
KrMS § 63 lg 1
KrMS § 63 lg 2"
1-21-7780/262;Riigikohtu kriminaalkolleegium;16.01.2025;"KrMS § 65 lg 1
KrMS § 274 lg 1"
1-21-8803/138;Riigikohtu kriminaalkolleegium;23.12.2024;"KarS § 217 2 lg 1
KVS § 2 lg 1"
1-24-4333/18;Riigikohtu kriminaalkolleegium;20.12.2024;Seadus kohtuväliselt represseeritud ja alusetult süüdimõistetud isikute rehabiliteerimise kohta § 5
1-23-3860/45;Riigikohtu kriminaalkolleegium;19.12.2024;"KrMS § 172 lg 2 p 2
KrMS § 319 lg 2
KrMS § 319 lg 5"
1-24-5013/17;Riigikohtu kriminaalkolleegium;19.12.2024;"KarS § 116 lg 1
KarS § 116 lg 1"
5-24-3/23;Riigikohtu üldkogu;19.12.2024;"KarS § 61
KarS § 141 lg 2 p 1"
1-22-3897/47;Riigikohtu kriminaalkolleegium;18.12.2024;"KarS § 334
KarS § 334 lg 2 p 1"
4-24-3055/22;Riigikohtu kriminaalkolleegium;17.12.2024;"VTMS § 23 lg 1
KrMS § 180 lg 3"
1-23-4013/49;Riigikohtu kriminaalkolleegium;17.12.2024;"KarS § 320 lg 1
KarS § 212 lg 1"
1-21-7128/152;Riigikohtu kriminaalkolleegium;12.12.2024;"KrMS § 506 lg 2
KrMS § 506 lg 1
KarS § 68 lg 1"
1-23-1176/70;Riigikohtu kriminaalkolleegium;12.12.2024;KarS § 120 lg 1
1-21-5115/53;Riigikohtu kriminaalkolleegium;09.12.2024;"KarS § 206 lg 1
KrMS § 185 lg 1
KrMS § 15 lg 3"
4-24-941/48;Riigikohtu kriminaalkolleegium;28.11.2024;"VTMS § 31 4
VTMS § 31 3 lg 1
VTMS § 31 lg 1 1 p 2
KrMS § 7 lg 3
LS § 234 lg 1
LS § 224 lg 2
KrMS § 66 lg 2"
4-24-37/31;Riigikohtu kriminaalkolleegium;28.11.2024;"AÕKS § 235 1 lg 2
AÕKS § 123 1 lg 1
KarS § 47 lg 2"
4-24-1840/11;Riigikohtu kriminaalkolleegium;28.11.2024;"VTMS § 120 lg 2
VTMS § 120 lg 1
VTMS § 150 lg 2
VTMS § 133
LS § 224 lg 2
VTMS § 120 lg 3"
4-24-1323/15;Riigikohtu kriminaalkolleegium;15.11.2024;"LS § 94 lg 1
LS § 242 lg 1
LS § 201 lg 1
LS § 99 lg 8"
4-24-1678/24;Riigikohtu kriminaalkolleegium;12.11.2024;"KrMS § 180 lg 3
VTMS § 23"
1-21-5438/66;Riigikohtu kriminaalkolleegium;08.11.2024;KrMS § 408 1 lg 1
1-21-957/72;Riigikohtu kriminaalkolleegium;08.11.2024;KrMS § 408 1 lg 1
1-23-2872/59;Riigikohtu kriminaalkolleegium;31.10.2024;"KarS § 141 lg 1
KarS § 25 lg 2"
1-23-4295/82;Riigikohtu kriminaalkolleegium;31.10.2024;"KS § 72 lg 1
KrMS § 339 lg 1 p 5
KrMS § 305 lg 2
KrMS § 341 lg 1"
1-23-1658/46;Riigikohtu kriminaalkolleegium;25.10.2024;
1-22-3234/49;Riigikohtu kriminaalkolleegium;24.10.2024;"KarS § 381 1
PS § 22 lg 3"
4-24-1237/24;Riigikohtu kriminaalkolleegium;23.10.2024;LS § 224 lg 2
1-23-5287/47;Riigikohtu kriminaalkolleegium;22.10.2024;KrMS § 384 lg 1
1-22-6248/51;Riigikohtu kriminaalkolleegium;17.10.2024;"KarS § 424 lg 2
KarS § 424 lg 4 p 2
KarS § 69 lg 7"
4-24-394/42;Riigikohtu kriminaalkolleegium;17.10.2024;"LKS § 71 lg 1
VTMS § 29 lg 1 p 5
KarS § 81 lg 3"
1-22-6710/83;Riigikohtu kriminaalkolleegium;04.10.2024;KarS § 422 lg 2 p 1
1-21-6603/211;Riigikohtu kriminaalkolleegium;03.10.2024;"KrMS § 15 lg 3
KarS § 331"
1-22-5373/115;Riigikohtu kriminaalkolleegium;19.09.2024;"KrMS § 141 1 lg 1
KrMS § 141 2
KrMS § 412 lg 1"
1-23-1212/48;Riigikohtu kriminaalkolleegium;10.07.2024;"KrMS § 339 lg 2
KrMS § 326 lg 3"
